tweet;enriched_tweet;tweet_length;enriched_tweet_length
Investing Club: Analysts dropped a bunch of new notes on energy stocks. Here's where we stand on ours  https://t.co/faKcXzyMGZ;Investing Club: Analysts dropped a bunch of new notes on energy, The energy industry is the totality of all of the industries involved in the production and sale of energy, including fuel extraction, manufacturing, refining and distribution. Modern society consumes large amounts of fuel, and the energy industry is a crucial part of the infrastructure and maintenance of society in almost all countries. In particular, the energy industry comprises: stocks. Here's where we stand on ours  https://t.co/faKcXzyMGZ;19;77
CFRA downgrades Disney, says lack of cash dividend could hurt its streaming platform  https://t.co/KG5V0NDfK4;"CFRA, CFRA is a news/talk formatted radio station in Ottawa, Ontario, Canada, owned by Bell Media. The station broadcasts on the assigned frequency of 580 kHz. CFRA's studios are located in the Bell Media Building on George Street in Downtown Ottawa's ByWard Market, while its 4-tower transmitter array is located near Manotick. downgrades Disney, The Walt Disney Company, commonly known as Disney (/ˈdɪzni/), is an American multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California. Disney was originally founded on October 16, 1923, by brothers Walt and Roy O. Disney as the Disney Brothers Studio; it also operated under the names the Walt Disney Studio and Walt Disney Productions before changing its name to the Walt Disney Company in 1986. Early on, the company established itself as a leader in the animation industry, with the creation of the widely popular character Mickey Mouse, who is the company's mascot, and the start of animated films., says lack of cash dividend, A dividend is a distribution of profits by a corporation to its shareholders. When a corporation earns a profit or surplus, it is able to pay a portion of the profit as a dividend to shareholders. Any amount not distributed is taken to be re-invested in the business (called retained earnings). The current year profit as well as the retained earnings of previous years are available for distribution; a corporation is usually prohibited from paying a dividend out of its capital. Distribution to shareholders may be in cash (usually a deposit into a bank account) or, if the corporation has a dividend reinvestment plan, the amount can be paid by the issue of further shares or by share repurchase. In some cases, the distribution may be of assets. could hurt its streaming platform  https://t.co/KG5V0NDfK4";14;300
Bank of America is more bullish than JPMorgan. Here's what that means for Wall Street and the economy  https://t.co/zHxjgjmwJv;"Bank of America is more bullish, Market sentiment, also known as investor attention, is the general prevailing attitude of investors as to anticipated price development in a market. This attitude is the accumulation of a variety of fundamental and technical factors, including price history, economic reports, seasonal factors, and national and world events. If investors expect upward price movement in the stock market, the sentiment is said to be bullish. On the contrary, if the market sentiment is bearish, most investors expect downward price movement. Market participants who maintain a static sentiment, regardless of market conditions, are described as permabulls and permabears respectively. Market sentiment is usually considered as a contrarian indicator: what most people expect is a good thing to bet against. Market se than JPMorgan. Here's what that means for Wall Street, Wall Street is an eight-block-long street in the Financial District of Lower Manhattan in New York City. It runs between Broadway in the west to South Street and the East River in the east. The term ""Wall Street"" has become a metonym for the financial markets of the United States as a whole, the American financial services industry, New York–based financial interests, or the Financial District itself. Anchored by Wall Street, New York has been described as the world's principal financial center. and the economy  https://t.co/zHxjgjmwJv";19;220
"Here are Tuesday's biggest analyst calls: Meta, Chipotle, Apple, Tesla, Exxon, Netflix, Sunrun &amp; more  https://t.co/xgyzBGpBvc";"Here are Tuesday's biggest analyst calls: Meta, Meta Platforms, Inc., doing business as Meta and formerly named Facebook, Inc., and TheFacebook, Inc., is an American multinational technology conglomerate based in Menlo Park, California. The company owns Facebook, Instagram, and WhatsApp, among other products and services. Meta was once one of the world's most valuable companies, but as of 2022 is not one of the top twenty biggest companies in the United States. It is considered one of the Big Five American information technology companies, alongside Alphabet, Amazon, Apple, Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft., and Microsoft. As of 2022, it is the least profitable of the five., Chipotle, Chipotle Mexican Grill, Inc. (/tʃɪˈpoʊtleɪ/, chih-POHT-lay), often known simply as Chipotle, is an American chain of fast casual restaurants specializing in bowls, tacos and Mission burritos made to order in front of the customer. Chipotle operates restaurants in the United States, United Kingdom, Canada, Germany, and France. Its name derives from chipotle, the Nahuatl name for a smoked and dried jalapeño chili pepper., Apple, Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft., Tesla, The Tesla Model 3 is a compact executive sedan that is battery powered and produced by Tesla. Limited production of the Model 3 began in mid-2017, with the first production vehicle rolling off the assembly line on July 7, 2017. The official launch and delivery of the first 30 cars took place on July 28. The base Model 3 delivers an EPA-rated all-electric range of 272 miles (438 km) and the Long Range version delivers 358 miles (576 km). According to Tesla, the Model 3 carries full self-driving hardware, with periodic software updates adding functionality., Exxon, Netflix, Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals., Sunrun, Sunrun is an American provider of photovoltaic systems and battery energy storage products, primarily for residential customers. The company was established in 2007 and is headquartered in San Francisco, California. In 2021, the company installed solar systems capable of generating 792 megawatts of power, and in the history of the company, had installed a total of 4.68 gigawatts of power for over 660 thousand customers. &amp; more  https://t.co/xgyzBGpBvc";16;526
Citi cuts Microsoft price target, citing foreign exchange headwinds  https://t.co/ZsnMboYnGw;"Citi cuts Microsoft, Microsoft Corporation is an American multinational technology corporation producing computer software, consumer electronics, personal computers, and related services headquartered at the Microsoft Redmond campus located in Redmond, Washington, United States. Its best-known software products are the Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2019. It is one of the Big Five American information technology companies, along price target, citing foreign exchange, The foreign exchange market (Forex, FX, or currency market) is a global decentralized or over-the-counter (OTC) market for the trading of currencies. This market determines foreign exchange rates for every currency. It includes all aspects of buying, selling and exchanging currencies at current or determined prices. In terms of trading volume, it is by far the largest market in the world, followed by the credit market. In a typical foreign exchange transaction, a party purchases some quantity of one currency by paying with some quantity of another currency. headwinds  https://t.co/ZsnMboYnGw";10;213
Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  https://t.co/Z51h67lv4O;Exchange operator Cboe, The Chicago Board Options Exchange (CBOE), located at 433 West Van Buren Street in Chicago, is the largest U.S. options exchange with an annual trading volume of around 1.27 billion at the end of 2014. CBOE offers options on over 2,200 companies, 22 stock indices, and 140 exchange-traded funds (ETFs). is a buy as recession, In economics, a recession is a business cycle contraction when there is a general decline in economic activity. Recessions generally occur when there is a widespread drop in spending (an adverse demand shock). This may be triggered by various events, such as a financial crisis, an external trade shock, an adverse supply shock, the bursting of an economic bubble, or a large-scale anthropogenic or natural disaster (e.g. a pandemic). chances rise, Morgan Stanley, Morgan Stanley is an American multinational investment management and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City. With offices in more than 41 countries and more than 75,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No. 61 in the 2021 Fortune 500 list of the largest United States corporations by total revenue. says  https://t.co/Z51h67lv4O;14;196
Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  https://t.co/99YkU9j8X2;"Strong earnings may not be enough to bring Netflix, Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals. out of its funk, Funk is a music genre that originated in African American communities in the mid-1960s when musicians created a rhythmic, danceable new form of music through a mixture of various music genres that were popular among African Americans in the mid-20th century. It de-emphasizes melody and chord progressions and focuses on a strong rhythmic groove of a bassline played by an electric bassist and a drum part played by a percussionist, often at slower tempos than other popular music. Funk typically consists of a complex percussive groove with rhythm instruments playing interlocking grooves that create a ""hypnotic"" and ""danceable"" feel. Funk uses the same richly colored extended chords found in bebop jazz, such as minor chords with added sevenths and elevenths, or dominant seventh chords with alte, Credit Suisse, Credit Suisse Group AG is a global investment bank and financial services firm founded and based in Switzerland. Headquartered in Zürich, it maintains offices in all major financial centers around the world and is one of the nine global ""Bulge Bracket"" banks providing services in investment banking, private banking, asset management, and shared services. It is known for strict bank–client confidentiality and banking secrecy. The Financial Stability Board considers it to be a global systemically important bank. Credit Suisse is also primary dealer and Forex counterparty of the FED. says  https://t.co/99YkU9j8X2";17;285
Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6;"Tesla, The Tesla Model 3 is a compact executive sedan that is battery powered and produced by Tesla. Limited production of the Model 3 began in mid-2017, with the first production vehicle rolling off the assembly line on July 7, 2017. The official launch and delivery of the first 30 cars took place on July 28. The base Model 3 delivers an EPA-rated all-electric range of 272 miles (438 km) and the Long Range version delivers 358 miles (576 km). According to Tesla, the Model 3 carries full self-driving hardware, with periodic software updates adding functionality.'s bitcoin, Bitcoin (abbreviation: BTC; sign: ₿) is a decentralized digital currency that can be transferred on the peer-to-peer bitcoin network. Bitcoin transactions are verified by network nodes through cryptography and recorded in a public distributed ledger called a blockchain. The cryptocurrency was invented in 2008 by an unknown person or group of people using the name Satoshi Nakamoto. The currency began use in 2009, when its implementation was released as open-source software. The word bitcoin was defined in a white paper published on 31 October 2008. It is a compound of the words bit and coin. holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6";16;206
Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei;"Morningstar, Morningstar, Inc. is an American financial services firm headquartered in Chicago, Illinois and was founded by Joe Mansueto in 1984. It provides an array of investment research and investment management services. The firm also provides software and data platforms for investment professionals, including ""Morningstar Direct"" and ""Morningstar Advisor Workstation"". strategist says two FAANG, Big Tech, also known as the Tech Giants, is a grouping of the most dominant companies in the information technology industry, mostly centered in the United States. The term also can refer to the four or five largest American tech companies, sometimes referred to as the Big Four or Big Five, which presently consist of Alphabet (Google), Amazon, Apple, and Meta (Facebook)—with Microsoft completing the Big Five. stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei";12;128
Analyst call of the day for @CNBCPro subscribers: Citi added a positive catalyst watch to Delta and said it sees “upside risk.”  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/eAYz0ec9dO;"Analyst call of the day for @CNBC, CNBC (formerly Consumer News and Business Channel) is an American basic cable business news channel. It provides business news programming on weekdays from 5:00 a.m. to 7:00 p.m., Eastern Time, while broadcasting talk shows, investigative reports, documentaries, infomercials, reality shows, and other programs at all other times. Along with Fox Business and Bloomberg Television, it is one of the three major business news channels. It also operates a website and mobile apps, whereby users can watch the channel via streaming media, and which provide some content that is only accessible to paid subscribers. CNBC content is available on demand on smart speakers including Amazon Echo devices with Amazon Alexa, Google Home and app devices with Google Assistant, and on Apple Siri voice interfaces Pro subscribers: Citi added a positive catalyst, Catalysis (/kəˈtæləsɪs/) is the process of increasing the rate of a chemical reaction by adding a substance known as a catalyst (/ˈkætəlɪst/). Catalysts are not consumed in the reaction and remain unchanged after it. If the reaction is rapid and the catalyst recycles quickly, very small amounts of catalyst often suffice; mixing, surface area, and temperature are important factors in reaction rate. Catalysts generally react with one or more reactants to form intermediates that subsequently give the final reaction product, in the process of regenerating the catalyst. watch to Delta and said it sees “upside risk.”  Subscribe to see the analyst calls of the day curated by CNBC, CNBC (formerly Consumer News and Business Channel) is an American basic cable business news channel. It provides business news programming on weekdays from 5:00 a.m. to 7:00 p.m., Eastern Time, while broadcasting talk shows, investigative reports, documentaries, infomercials, reality shows, and other programs at all other times. Along with Fox Business and Bloomberg Television, it is one of the three major business news channels. It also operates a website and mobile apps, whereby users can watch the channel via streaming media, and which provide some content that is only accessible to paid subscribers. CNBC content is available on demand on smart speakers including Amazon Echo devices with Amazon Alexa, Google Home and app devices with Google Assistant, and on Apple Siri voice interfaces  Pro.  https://t.co/eAYz0ec9dO";36;370
Apple's near-term future looks murky as consumer spending slows, Bernstein says  https://t.co/21T9LREta4;"Apple, Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft.'s near-term future looks murky as consumer spending, Consumer spending is the total money spent on final goods and services by individuals and households. There are two components of consumer spending: induced consumption (which is affected by the level of income) and autonomous consumption (which is not). slows, Bernstein, Leonard Bernstein (/ˈbɜːrnstaɪn/ BURN-styne; August 25, 1918 – October 14, 1990) was an American conductor, composer, pianist, music educator, author, and humanitarian. Considered to be one of the most important conductors of his time, he was the first American conductor to receive international acclaim. According to music critic Donal Henahan, he was ""one of the most prodigiously talented and successful musicians in American history"". Bernstein was the recipient of many honors, including seven Emmy Awards, two Tony Awards, sixteen Grammy Awards including the Lifetime Achievement Award, and the Kennedy Center Honor. says  https://t.co/21T9LREta4";12;212
Buy Tesla in the short term to capture potential upside from earnings, says Deutsche Bank  https://t.co/Q4MqoSVmXJ;"Buy, Buy (Russian: Буй) is a town in Kostroma Oblast, Russia, which stands on the Kostroma River. Population: 25,763 (2010 Census); 27,392 (2002 Census); 32,701 (1989 Census). Tesla in the short term to capture potential upside from earnings, says Deutsche Bank, Deutsche Bank AG (German pronunciation: [ˈdɔʏtʃə ˈbaŋk ʔaːˈɡeː]) is a German multinational investment bank and financial services company headquartered in Frankfurt, Germany, and dual-listed on the Frankfurt Stock Exchange and the New York Stock Exchange. The company is a universal bank with four major divisions: Investment Bank, Corporate Bank, Private Bank and Asset Management (DWS). Its investment banking operations often command substantial deal flow.  https://t.co/Q4MqoSVmXJ";16;106
"Here are Monday's biggest analyst calls of the day: Tesla, Apple, Yum, Delta, Fox, Netflix &amp; more  https://t.co/Pt2oqzwPvB";"Here are Monday's biggest analyst calls of the day: Tesla, The Tesla Model 3 is a compact executive sedan that is battery powered and produced by Tesla. Limited production of the Model 3 began in mid-2017, with the first production vehicle rolling off the assembly line on July 7, 2017. The official launch and delivery of the first 30 cars took place on July 28. The base Model 3 delivers an EPA-rated all-electric range of 272 miles (438 km) and the Long Range version delivers 358 miles (576 km). According to Tesla, the Model 3 carries full self-driving hardware, with periodic software updates adding functionality., Apple, Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft., Yum, Delta, Delta Air Lines, Inc., typically referred to as Delta, is one of the major airlines of the United States and a legacy carrier. One of the world's oldest airlines in operation, Delta is headquartered in Atlanta, Georgia. The airline, along with its subsidiaries and regional affiliates, including Delta Connection, operates over 5,400 flights daily and serves 325 destinations in 52 countries on six continents. Delta is a founding member of the SkyTeam airline alliance., Fox, Netflix, Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals. &amp; more  https://t.co/Pt2oqzwPvB";18;310
Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU;Deutsche Bank, Deutsche Bank AG (German pronunciation: [ˈdɔʏtʃə ˈbaŋk ʔaːˈɡeː]) is a German multinational investment bank and financial services company headquartered in Frankfurt, Germany, and dual-listed on the Frankfurt Stock Exchange and the New York Stock Exchange. The company is a universal bank with four major divisions: Investment Bank, Corporate Bank, Private Bank and Asset Management (DWS). Its investment banking operations often command substantial deal flow. downgrades General Motors, The General Motors Company (GM) is an American multinational automotive manufacturing company headquartered in Detroit, Michigan, United States. It is the largest automaker in the United States and was the largest in the world for 77 years before losing the top spot to Toyota in 2008. The company traces itself to a holding company for Buick established on September 16, 1908, by William C. Durant, the largest seller of horse-drawn vehicles at the time. The current entity was established in 2009 after the General Motors Chapter 11 reorganization., cites looming pricing risks to automakers  https://t.co/40yhalOoOU;12;164
